Area of park,Population year,Species name,Fall population estimate,Estimate method
North,1951,Bison,1785,Ground
North,1951,Elk,784,Ground
North,1951,Deer,113,Ground
North,1951,Moose,387,Ground
North,1952,Bison,1411,Ground
North,1952,Elk,782,Ground
North,1952,Deer,95,Ground
North,1952,Moose,375,Ground
North,1953,Bison,1552,Ground
North,1953,Elk,840,Ground
North,1953,Deer,125,Ground
North,1953,Moose,360,Ground
North,1954,Bison,1146,Ground
North,1954,Elk,955,Ground
North,1954,Deer,113,Ground
North,1954,Moose,335,Ground
North,1955,Bison,1426,Ground
North,1955,Elk,999,Ground
North,1955,Deer,89,Ground
North,1955,Moose,367,Ground
North,1956,Bison,1242,Ground
North,1956,Elk,1149,Ground
North,1956,Deer,70,Ground
North,1956,Moose,370,Ground
North,1957,Elk,865,Ground
North,1957,Deer,48,Ground
North,1957,Bison,1049,Ground
North,1957,Moose,275,Ground
North,1958,Elk,680,Aerial
South,1958,Deer,150,Aerial
North,1958,Deer,50,Aerial
South,1958,Elk,70,Aerial
North,1958,Bison,1417,Aerial
North,1958,Moose,342,Aerial
South,1958,Moose,0,Aerial
North,1959,Bison,1173,Aerial
North,1959,Deer,110,Aerial
North,1959,Elk,640,Aerial
South,1959,Elk,90,Aerial
North,1959,Moose,234,Aerial
South,1959,Deer,160,Aerial
South,1959,Moose,68,Aerial
South,1960,Deer,154,Aerial
North,1960,Bison,700,Aerial
North,1960,Deer,88,Aerial
North,1960,Elk,260,Aerial
South,1960,Elk,8,Aerial
North,1960,Moose,123,Aerial
South,1960,Moose,68,Aerial
South,1961,Deer,149,Aerial
North,1961,Bison,794,Aerial
North,1961,Elk,230,Aerial
North,1961,Moose,153,Aerial
South,1963,Deer,128,Aerial
South,1961,Elk,8,Aerial
North,1963,Deer,64,Aerial
North,1961,Deer,145,Aerial
South,1961,Moose,74,Aerial
South,1964,Deer,118,Aerial
North,1964,Deer,45,Aerial
South,1962,Deer,140,Aerial
North,1962,Deer,100,Aerial
North,1962,Bison,725,Aerial
North,1963,Elk,330,Aerial
North,1963,Bison,896,Aerial
North,1965,Deer,38,Aerial
South,1966,Deer,76,Aerial
South,1963,Elk,13,Aerial
North,1963,Moose,255,Aerial
North,1964,Moose,275,Aerial
North,1964,Elk,302,Aerial
North,1964,Bison,830,Aerial
South,1967,Deer,159,Aerial
North,1967,Deer,59,Aerial
South,1964,Elk,12,Aerial
North,1965,Moose,332,Aerial
South,1965,Deer,107,Aerial
South,1965,Bison,21,Aerial
North,1965,Elk,275,Aerial
North,1965,Bison,623,Aerial
North,1968,Deer,74,Aerial
South,1969,Deer,177,Aerial
South,1965,Elk,12,Aerial
North,1966,Deer,34,Aerial
North,1966,Moose,429,Aerial
South,1966,Bison,22,Aerial
North,1966,Elk,343,Aerial
North,1966,Bison,612,Aerial
South,1970,Deer,98,Aerial
